"ID","AIC_lm2","AIC_lm3","AIC_HollT2"
40095,-54.6525456753629,-39.6204144605635,-63.4789881890174
40096,-69.8290583422528,-46.1813608213139,-73.9973475195172
40097,-73.4080245749833,-47.4699578159573,-79.6951603003729
40098,-476.738280650819,-476.37646752373,-478.671519736959
40099,-719.616724507709,-718.541848032633,-712.906476836667
40100,-801.477061874275,-799.512630989078,-803.462005418753
40101,-1440.00192283705,-1437.86335395379,-1441.64142918254
40102,22.0746264146045,24.2284685274805,46.7787036237732
40103,-158.204005799039,-150.858905793,-163.322225236235
40104,-175.828595152017,-166.505611530072,-180.264725215351
40105,-120.151181269103,-92.9934235165205,-116.279539120784
40106,-85.1681162923877,Inf,-103.497447992156
40107,-127.250647774322,Inf,-125.922089543347
40108,-406.880704506258,-407.317916417581,-410.380424000572
40109,-505.43930968024,-506.388857589963,-506.372506831771
40110,-541.020617303195,-541.065078088067,-542.906752414622
40111,-61.7023654973454,-34.5111382111931,-69.5365759205063
40112,23.325648833272,Inf,4.2574574259135
351,-1.11061961522479,-8.79213945587988,15.5570759038793
814,-126.120158352167,-120.803494247773,-128.397291795367
71,-78.554090600971,-50.186146826105,-87.6087135600261
445,Inf,-Inf,-70.0410506902833
3,Inf,-Inf,-66.2956964992136
2,Inf,-Inf,-57.9851520437151
450,-112.767613301762,-95.5140991546901,-123.926505098617
140,-20.5641666734528,8.32427985761542,-28.0879740442558
79,-175.970428394675,-170.0774025555,-173.170397444726
713,-531.409126079517,-531.331606886557,-536.105525994762
708,-59.0521937790885,Inf,-83.3738492731756
920,11.1479756597672,36.7050547437417,-7.94297439346424
721,-124.572567885636,-107.227633730556,-140.426005135913
687,-1128.24021652634,-1133.91329942857,-1126.72215433952
691,-1066.80538388324,-1064.53812686005,-1068.86973730934
6,-525.554353085884,-523.408990962235,-527.597968457483
695,-51.9516973393348,Inf,-71.6652099588956
40114,-56.8445741232972,Inf,-75.6221835337178
40115,-2.68386034156291,25.1474490901248,-15.76857256467
40116,2.74041546512393,30.552287934763,-8.57008268757265
40117,0.143596628129345,30.0754306393512,-9.09217847033501
40118,-11.9756878636981,17.954999493875,-21.9555129175784
40119,-8.81019052929373,20.2652598012373,-17.9430395492325
40120,-9.03347726507987,18.1016538640727,-11.6406547472408
40121,-36.4739320673302,-11.7659203585337,-46.0846751898613
40122,-565.112359410763,-563.058376914545,-562.899025026424
40123,-37.7412591204888,-12.4932447680146,-52.7417160828606
40124,-49.2802517106973,-20.5748075150155,-59.9061352397588
40125,-434.220608392918,-431.832927989338,-432.025034681277
40126,-401.168296787787,-412.622566960569,-399.176606851932
40127,-301.543086470951,-298.673818417892,-305.274367530265
40128,-8.27422254852809,5.59157734606336,-12.3449606540329
40129,-1.5012036545343,7.66469658713722,-5.77757774984571
40130,23.8022965160235,Inf,-19.6243091883057
